"Artikel";"Variante";"Leiste";"Größe";"Qualität";"Beschreibung";"Kategorie";"Lager";"Bestand";"Bestandseinheit";"Großhandelspreis";"EAN"
"Rückenwind";"timber";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001194881"
"GN Sandale";"weiche Sohle kimber";"0";"26";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001141717"
"G10 Twiga";"türkis";"1";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000001457009"
"W4tler Eisbär";"jaques dunkelbraun";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000473598"
"Wirbelwind";"flachs neu";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000000963990"
"GGG Art S2";"shadow";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001241615"
"Tramper Flex";"jaques dunkelbraun";"H";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000112756"
"Romy";"strohblume";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001458990"
"GGG Wüdling";"blau";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001210505"
"GN Schnürer";"weiche Sohle flachs new";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001320785"
"Ronny";"schlehe";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001204962"
"Klox";"flachs neu";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000000909257"
"Tramper Flex";"denim";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001218129"
"Sommertramper";"camel";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000000146119"
"GN Kletter";"weiche Sohle flachs new";"0";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001320679"
"Falter";"stone";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001197233"
"Wilderer";"schoko";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000965086"
"Air Danubia";"schlehe";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"88,00 €";"2000001204368"
"Jaga Flex";"flachs neu";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000895536"
"G10 Chui";"orange";"1";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000001456330"
"Rückenwind";"flachs neu";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000964348"
"Sommertramper";"flachs neu";"G";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000000896311"
"GN Sandale";"weiche Sohle kimber";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001141755"
"Air Danubia";"sesam";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001341575"
"G10 Chui";"rose";"1";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000000797885"
"GGG Pony";"rose";"1";"34";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000001210390"
"Ansa";"jaques schwarz";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001148563"
"Romy";"rosa ceresa";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"60,00 €";"2000001202661"
"GGG Art 10";"denim";"1";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001103913"
"Herr Sommer";"denim";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"52,00 €";"2000001064832"
"GGG Art 9";"flachs neu";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"88,00 €";"2000000906812"
"Rückenwind";"nougat";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"160,00 €";"2000001302118"
"Frau Neuner";"stone";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001240939"
"Frau Wohle";"weinrot";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000001195055"
"Papallona";"tric. rose";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000820743"
"Kommod Flex";"jaques dunkelbraun";"G";"48";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000044354"
"Rückenwind";"denim";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001075500"
"Frau Wohle";"weinrot";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000001195109"
"Wilderer";"flachs neu";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000001303566"
"Kommod Flex";"jaques dunkelbraun";"G";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000044897"
"Wirbelwind";"Curry";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000001304563"
"Herr Sommer";"jaques schwarz";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"52,00 €";"2000000704234"
"Sommertramper";"flachs neu";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000000896236"
"Air Line";"Schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001204832"
"Rückenwind";"nougat";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"160,00 €";"2000001302002"
"Phönix";"schwarz";"H";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"178,00 €";"2000000647777"
"GN Sandale";"weiche Sohle rose";"0";"26";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000805443"
"Eight days a week Damen";"timber";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001174937"
"GN Schnürer";"weiche Sohle türkis";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001457443"
"Bronca";"jaques dunkelbraun";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000001159392"
"VIA Andante";"weinrot";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001187234"
"GGG Little Trampa";"Olive";"1";"27";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001224267"
"G10 Twiga";"violett";"1";"34";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001299180"
"ViaVia";"schwarz";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001308226"
"ViaVia";"weinrot";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001197653"
"Frau Neuner";"Curry";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001277065"
"Lerche";"flachs neu";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000000910512"
"G10 Nie mehr kalt";"blattgrün/stone";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000001209769"
"W4tler Eisbär";"jaques dunkelbraun";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"206,00 €";"2000000473772"
"Kommod Classic";"Schwarz";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"142,00 €";"2000000207490"
"Klox";"flachs neu";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000000908977"
"Romy";"timber";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001202616"
"Phönix";"ocean";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000674896"
"G10 Nie mehr kalt";"shadow/kimber";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000001209677"
"Südpol";"mocha";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000001357262"
"GN Schnürer";"weiche Sohle flachs new";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001320778"
"Wirbelwind Vegan";"Grau";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000000999265"
"ViaVia";"schlehe";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001197950"
"Yoko";"schlehe";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001206508"
"Jaga Flex";"jaques schwarz";"F";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000166933"
"Südpol";"jaques dunkelbraun";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000000590059"
"Rückenwind";"nougat";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001302019"
"GGG Wüdling";"nougat";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001299609"
"Wind";"flachs neu";"F";"36";"Q2";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"99,50 €";"2000000914244"
"Romy";"strohblume";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001459003"
"GN Winterschuh";"shadow";"0";"20";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"37,00 €";"2000001110737"
"Mustang";"nougat";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001306468"
"Tramper Flex";"denim";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001218051"
"GGG Wüdling";"blau";"1";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"50,00 €";"2000001210468"
"Südpol";"mocha";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000001357316"
"GN Sandale";"weiche Sohle kimber";"0";"20";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001141779"
"Sommertramper";"rosso";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"188,00 €";"2000001461280"
"Tramper Flex";"schwarz";"G";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000096131"
"G10 Chui";"rose";"1";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"96,00 €";"2000000797915"
"Mustang";"Schwarz";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001160206"
"Wilderer";"flachs neu";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000001303443"
"Jaga Flex";"jaques dunkelbraun";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000163871"
"Jaga Flex";"jaques schwarz";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000166452"
"VIA Andante";"schwarz";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001176382"
"warmer Wind";"nougat";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"121,00 €";"2000001212837"
"Ansa";"jaques dunkelbraun";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001177969"
"Tramper Flex";"jaques dunkelbraun";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000111315"
"Sommertramper";"flachs neu";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"188,00 €";"2000000896366"
"Air Line";"rose";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001204757"
"Jaga Flex";"flachs neu";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000895437"
"Ronny";"oliv";"1";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001278765"
"G10 Twiga";"rose";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000798486"
"Frau Wohle";"camel";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000001277119"
"Rückenwind";"denim";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001075395"
"Kommod Flex";"flachs neu";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000901855"
"Mustang";"nougat";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001306505"
"Phönix mit Vario-Fußbett";"jaques dunkelbraun";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000000037752"
"Phönix";"ocean";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000675435"
"Phönix";"schwarz";"H";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000647951"
"VIA Andante";"mocha";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"196,00 €";"2000001357590"
"G10 Twiga";"türkis";"1";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000001457030"
"Sommertramper";"flachs neu";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"188,00 €";"2000000896373"
"Kommod Flex";"flachs neu";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000901640"
"Phönix";"schwarz";"G";"48";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000647357"
"Ronny";"nougat";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001205075"
"GN Sandale";"weiche Sohle flachs new";"0";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001345511"
"Ansa";"timber";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"97,50 €";"2000001195321"
"Phönix";"schwarz";"E";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000645377"
"GN Kletter";"weiche Sohle flachs new";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001320655"
"Ronny";"schlehe";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001204993"
"G10 Nie mehr kalt";"violett";"1";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000001299098"
"GGG Wüdling";"Olive";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"50,00 €";"2000001299722"
"GN Schnürer";"weiche Sohle rose";"0";"21";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000804095"
"GGG Art 10";"rosa ceresa";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001021446"
"Phönix";"schwarz";"H";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000647890"
"Bronca";"barrel";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000001356258"
"GN Kletter";"flachs neu";"0";"21";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000922492"
"Rückenwind";"jaques schwarz";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000964584"
"GGG Art 10";"rosa ceresa";"1";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001021507"
"Madame Wunder 21";"rosso";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001206683"
"Ansa";"jaques dunkelbraun";"G";"47";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001178140"
"GN Schnürer";"flachs neu";"0";"21";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000906997"
"Rückenwind";"Weiß";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001460269"
"Kommod Flex";"flachs neu";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000902395"
"Mustang";"nougat";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001306451"
"GN Sandale";"weiche Sohle rose";"0";"21";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"69,00 €";"2000000805290"
"Mustang";"Schwarz";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001160176"
"Jaga Flex";"jaques dunkelbraun";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000163994"
"Wilderer";"jaques dunkelbraun";"G";"48";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000547510"
"GN Winterschuh";"rose";"0";"20";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"37,00 €";"2000000907291"
"Ansa";"jaques dunkelbraun";"H";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001178195"
"GGG Art S1";"türkis";"1";"34";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001457122"
"Lerche";"schwarz";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000000389899"
"Lucy in the Sky Damen";"strohblume";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001353813"
"GGG Pony";"Olive";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"96,00 €";"2000001299524"
"GGG Art 10";"jaques dunkelbraun";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000000610337"
"Eiswind";"crazy blue";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000001358726"
"Wirbelwind";"denim";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000001076163"
"G10 Chui";"flachs neu";"1";"34";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000000901961"
"G10 Chui";"josta";"1";"31";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"29,50 €";"2000001223222"
"Bronco";"Schwarz";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"224,00 €";"2000001298794"
"GGG Pony";"shadow";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001210314"
"Tramper Flex";"jaques dunkelbraun";"H";"48";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000113050"
"Sommertramper";"flachs neu";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000000896342"
"Frau Sommer";"sesam";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"104,00 €";"2000001343579"
"Jaga Flex";"jaques dunkelbraun";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000163819"
"Romy";"rosa ceresa";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001202715"
"Eight days a week Herren";"flachs neu";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001190821"
"G10 Chui";"kimber";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001241691"
"Phönix";"schwarz";"G";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000646879"
"Phönix mit Vario-Fußbett";"schwarz";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000000034874"
"Rückenwind";"strohblume";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001459393"
"G10 Nie mehr kalt";"shadow/kimber";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000001209714"
"Phönix";"jaques dunkelbraun";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000631394"
"Jaga Flex";"jaques dunkelbraun";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000164052"
"Kommod Flex Vario";"flachs neu";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"76,50 €";"2000000950334"
"ViaVia";"Weiß";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001461471"
"Wilderer";"jaques dunkelbraun";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000546735"
"Romy";"timber";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001202579"
"Wilderer";"schoko";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000960470"
"G10 Chui";"josta";"1";"30";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"29,50 €";"2000001223215"
"Tramper Flex";"jaques schwarz";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000960180"
"W4tler Eisbär";"jaques dunkelbraun";"H";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000474915"
"GGG Pony";"rose";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001210444"
"Eight days a week Damen";"timber";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001174968"
"Rückenwind";"Weiß";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001460115"
"Mustang";"camel";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001277522"
"W4tler Eisbär";"schwarz, Fell grau";"G";"48";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000502694"
"GGG Art 7";"rose";"1";"24";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000000905754"
"Klox";"barrel";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001458044"
"Südpol";"jaques dunkelbraun";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000000590172"
"Sommertramper";"schoko";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000001068717"
"Rückenwind";"purple";"F";"43";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"69,50 €";"2000001305409"
"G10 Twiga";"rose";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000798547"
"Air Danubia";"Lila";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001204269"
"Rosa Lux";"flachs neu";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000911977"
"GGG Art 7";"timber";"1";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001158425"
"G10 Twiga";"flachs neu";"1";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000000901442"
"Sommertramper";"schoko";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000001068724"
"Jaga Flex";"flachs neu";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000895574"
"Südpol";"jaques dunkelbraun";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000000589992"
"Rückenwind";"magnolia";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001459560"
