"Artikel";"Variante";"Leiste";"Größe";"Qualität";"Beschreibung";"Kategorie";"Lager";"Bestand";"Bestandseinheit";"Großhandelspreis";"EAN"
"Eight days a week Herren";"flachs neu";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001190852"
"GGG Art 10";"denim";"1";"34";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001103890"
"Südpol";"jaques dunkelbraun";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000000589930"
"GGG Art 8";"flachs neu";"1";"26";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,00 €";"2000000906034"
"VIA Andante";"schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001176412"
"GN Schnürer";"weiche Sohle flachs new";"0";"24";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"69,00 €";"2000001320792"
"Südpol";"flachs neu";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000000914152"
"Polarstern ";"walnuss";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000000998435"
"Phönix";"schwarz";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000647173"
"GGG Art S1";"türkis";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"60,00 €";"2000001457054"
"Rückenwind";"nougat";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001302057"
"Klox";"flachs neu";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000000909233"
"GGG Art S2m";"flachs neu";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000000923772"
"Herr Sommer";"monks robe";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"104,00 €";"2000001343746"
"Jaga Flex";"flachs neu";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000895420"
"Wilderer";"jaques schwarz";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000563350"
"GN Schnürer";"weiche Sohle flachs new";"0";"27";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001320822"
"Rückenwind";"grau";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001075784"
"GN Winterschuh";"froschgrün/stone";"0";"20";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"37,00 €";"2000001210758"
"GGG Art 10";"flachs neu";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"114,00 €";"2000000902562"
"GN Kletter";"flachs neu";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000922423"
"Phönix mit Vario-Fußbett";"jaques dunkelbraun";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"188,00 €";"2000000038179"
"Sommertramper";"split";"G";"43";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"79,50 €";"2000001214749"
"W4tler Eisbär";"jaques dunkelbraun";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000473536"
"W4tler Eisbär";"schwarz, Fell grau";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000502458"
"ViaVia";"weinrot";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001197806"
"G10 Twiga";"flachs neu";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000902166"
"Kommod Flex";"jaques dunkelbraun";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000045498"
"G10 Nie mehr kalt";"braun";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000001305256"
"W4tler Eisbär";"schwarz, Fell grau";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"206,00 €";"2000000501611"
"Air Line";"Schwarz";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001204825"
"Nordpol";"jaques dunkelbraun";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000000583334"
"Wirbelwind";"Olive";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000001198926"
"Frau Neuner";"stone";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001240960"
"Ronny";"nougat";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001205044"
"Rosa Lux";"schwarz";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000449715"
"Tramper Flex";"blattgrün";"G";"43";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"84,50 €";"2000001322635"
"Sommertramper";"green";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000001302200"
"G10 Chui";"shadow";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"78,00 €";"2000001110621"
"Falter";"türkis";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001454749"
"GN Schnürer";"blau";"0";"23";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"24,50 €";"2000000339177"
"Polarstern ";"jaques schwarz";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000001015315"
"Papallona";"smoke";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001458747"
"GGG Pony";"Olive";"1";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000001299555"
"Kommod Flex";"jaques dunkelbraun";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000045252"
"ViaVia";"mocha";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001357705"
"GN Sandale";"flachs neu";"0";"21";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000923475"
"GN Schnürer";"weiche Sohle flachs new";"0";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001320808"
"Klox";"jaques dunkelbraun";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000000222318"
