"Artikel";"Variante";"Leiste";"Grˆﬂe";"Qualit‰t";"Beschreibung";"Kategorie";"Lager";"Bestand";"Bestandseinheit";"Groﬂhandelspreis";"EAN"
"Frau Wohle";"weinrot";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"71,00 Ä";"2000001195031"
"Wirbelwind";"nougat";"G";"45";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"85,00 Ä";"2000001304266"
"Air Line";"t¸rkis";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001454237"
"GGG Art S1";"berry";"1";"32";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"30,00 Ä";"2000001071717"
"W4tler Eisb‰r";"orange";"G";"46";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"103,00 Ä";"2000001321461"
"Jaga Flex";"jaques dunkelbraun";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"112,00 Ä";"2000000162973"
"S¸dpol";"jaques dunkelbraun";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"125,00 Ä";"2000000590059"
"Phˆnix";"braun";"G";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"89,00 Ä";"2000001301753"
"Lucy in the Sky Damen";"strohblume";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001353790"
"GN Winterstiefel";"shadow/timber";"0";"26";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001210857"
"Kommod Flex";"schwarz";"G";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000041957"
"Lucy in the Sky Damen";"timber";"F";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001304600"
"G10 Chui";"rose";"1";"28";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000000797588"
"Nordpol";"jaques dunkelbraun";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"125,00 Ä";"2000000583150"
"Kommod Flex";"jaques dunkelbraun";"G";"44";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000044590"
"GGG W¸dling";"blau";"1";"29";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"50,00 Ä";"2000001210475"
"G10 Twiga";"flachs neu";"1";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"53,00 Ä";"2000000901459"
"GGG Speedy";"kimber";"1";"31";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,00 Ä";"2000001209943"
"GN Kletter";"weiche Sohle Azur";"0";"23";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001210673"
"GN Winterstiefel";"rosa ceresa";"0";"22";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001008300"
"Kommod Flex";"schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000041230"
"G10 Ronja";"stone";"1";"28";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001203002"
"Air Danubius";"timber";"G";"45";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001240366"
"Romy";"strohblume";"1";"31";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"30,00 Ä";"2000001458983"
"Klox";"flachs neu";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"66,00 Ä";"2000000909059"
"Tramper Flex";"jaques dunkelbraun";"H";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"196,00 Ä";"2000000112633"
"Pillango 20";"rosso";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001458907"
"Mustang";"Schwarz";"G";"47";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"214,00 Ä";"2000001160121"
"Polarstern ";"schoko";"F";"35";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"125,00 Ä";"2000000958507"
"R¸ckenwind";"nougat";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001302071"
"G10 Chui";"froschgr¸n";"1";"34";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001277959"
"Kommod Flex";"jaques dunkelbraun";"H";"45";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000043753"
"R¸ckenwind";"Weiﬂ";"G";"44";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001460269"
"R¸ckenwind";"flachs neu";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000964317"
"R¸ckenwind";"schwarz";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001468494"
"Jaga Flex";"jaques dunkelbraun";"G";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"224,00 Ä";"2000000163871"
"Ansa";"pull up braun";"G";"47";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001454527"
"Lerche";"schwarz";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"150,00 Ä";"2000000390314"
"G10 Twiga";"t¸rkis";"1";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"53,00 Ä";"2000001457023"
"GN Schn¸rer";"weiche Sohle froschgr¸n";"0";"23";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001206225"
"Herr Neuner";"Olive";"G";"44";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001277201"
"Sommertramper";"schoko";"F";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"94,00 Ä";"2000001068823"
"Wilderer";"schoko";"G";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"116,00 Ä";"2000000965109"
"GGG Art S2";"shadow";"1";"27";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"60,00 Ä";"2000001241578"
"R¸ckenwind";"begonia";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001459850"
"R¸ckenwind";"timber";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001194898"
"Romy";"mais";"1";"29";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"30,00 Ä";"2000001278697"
"Klox";"flachs neu";"F";"45";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"66,00 Ä";"2000000909158"
"Falter";"t¸rkis";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001454763"
"GGG Art 10";"denim";"1";"33";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"57,00 Ä";"2000001103944"
"Pillango 20";"Schwarz";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001205525"
"GN Sandale";"weiche Sohle rose";"0";"26";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000000805443"
"GGG Little Trampa";"Olive";"1";"32";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001210178"
"GGG Art S1";"flachs neu";"1";"30";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"30,00 Ä";"2000000990323"
"R¸ckenwind";"timber";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001194799"
"Sommertramper";"flachs neu";"G";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"94,00 Ä";"2000000896328"
"GN Schn¸rer";"weiche Sohle flachs new";"0";"24";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001320792"
"G10 Wingu 35-40";"Olive";"1";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"71,00 Ä";"2000001299241"
"Bronca";"shadow";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"112,00 Ä";"2000001298732"
"Kommod Flex";"flachs neu";"F";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000901596"
"W4tler Eisb‰r";"flachs neu";"F";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"103,00 Ä";"2000000896496"
"GGG Art S2";"rosa ceresa";"1";"31";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"3";"Paar";"90,00 Ä";"2000001071816"
"ViaVia";"Weiﬂ";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001461617"
"Sommertramper";"flachs neu";"F";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"94,00 Ä";"2000000896274"
"Ansa";"jaques schwarz";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001148495"
"GN Winterschuh";"blau";"0";"24";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"37,00 Ä";"2000000619996"
"Air Danubius";"timber";"G";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001240311"
"GGG Art 9";"flachs neu";"1";"30";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000000906836"
"Polarstern ";"jaques schwarz";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"125,00 Ä";"2000001015155"
"Bronca";"pepper";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"112,00 Ä";"2000001184653"
"Air Line";"t¸rkis";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001454251"
"GN Kletter";"weiche Sohle Azur";"0";"22";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001210666"
"GGG Art S1";"t¸rkis";"1";"31";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"30,00 Ä";"2000001457061"
"W4tler Eisb‰r";"jaques dunkelbraun";"G";"44";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"103,00 Ä";"2000000474373"
"G10 Chui";"froschgr¸n";"1";"31";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001277928"
"Yoko";"schlehe";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001206522"
"R¸ckenwind";"denim";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001075395"
"W4tler Eisb‰r";"schwarz, Fell grau";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"103,00 Ä";"2000000502335"
"GN Winterschuh";"violett";"0";"26";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"37,00 Ä";"2000001299906"
"G10 Chui";"flachs neu";"1";"34";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000000901961"
"GN Schn¸rer";"weiche Sohle rose";"0";"22";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000000804125"
"Kommod Flex";"ocker";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001464861"
"Kommod Flex";"jaques dunkelbraun";"G";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000044651"
"Nordpol";"jaques schwarz";"G";"44";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"125,00 Ä";"2000000587172"
"Papallona";"schwarz";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000000452050"
"GGG Pony";"shadow";"1";"33";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"48,00 Ä";"2000001210352"
"Flexwind";"flachs neu";"F";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"103,00 Ä";"2000001269329"
"GN Sandale";"weiche Sohle t¸rkis";"0";"25";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001457344"
"Mustang";"Schwarz";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"3";"Paar";"321,00 Ä";"2000001160091"
"ViaVia";"Weiﬂ";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001461471"
"G10 Chui";"flachs neu";"1";"29";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000000901312"
"GN Winterschuh";"violett";"0";"22";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"37,00 Ä";"2000001299869"
"G10 Chui";"rose";"1";"34";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"78,00 Ä";"2000000797762"
"G10 Chui";"shadow";"1";"30";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001110614"
"GGG Pony";"Olive";"1";"33";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"48,00 Ä";"2000001299531"
"W4tler Eisb‰r";"schwarz, Fell grau";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"103,00 Ä";"2000000501499"
"Wilderer";"schoko";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"116,00 Ä";"2000000965086"
"G10 Chui";"rose";"1";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"96,00 Ä";"2000000797885"
"Wilderer";"jaques dunkelbraun";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"116,00 Ä";"2000000547091"
"Eight days a week Damen";"timber";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001174968"
"Air Danubius";"crazy blue";"G";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001465783"
"GGG W¸dling";"aubergine";"1";"30";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"50,00 Ä";"2000001210598"
"Ansa";"jaques schwarz";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001148532"
"Kommod Flex";"flachs neu";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000901640"
"G10 Twiga";"smoke";"1";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"53,00 Ä";"2000001456736"
"R¸ckenwind";"denim";"G";"44";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001075463"
"GN Kletter";"weiche Sohle flachs new";"0";"24";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001320662"
"Tramper Flex";"barrel";"F";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001357392"
"warmer Wind";"maroni";"F";"36";"QS";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"104,50 Ä";"2000000993553"
"G10 Nie mehr kalt";"blattgr¸n/stone";"1";"28";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"48,00 Ä";"2000001209813"
"P.i.";"stone";"F";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001205150"
"Ronny";"schlehe";"1";"30";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"30,00 Ä";"2000001204962"
"W4tler Eisb‰r";"jaques dunkelbraun";"G";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"3";"Paar";"309,00 Ä";"2000000474311"
"Mustang";"Olive";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"107,00 Ä";"2000001199084"
"Falter";"rose";"F";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001196724"
"Falter";"t¸rkis";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001454749"
"Mustang";"Schwarz";"G";"45";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"107,00 Ä";"2000001160077"
"Herr Neuner";"mocha";"G";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001457498"
"R¸ckenwind";"schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001468395"
"GN Kletter";"flachs neu";"0";"22";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"3";"Paar";"103,50 Ä";"2000000922423"
"Phˆnix";"schwarz";"G";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"89,00 Ä";"2000000647050"
"R¸ckenwind";"flachs neu";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000964324"
"W4tler Eisb‰r";"jaques dunkelbraun";"G";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"103,00 Ä";"2000000474137"
"G10 Chui";"rose";"1";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"48,00 Ä";"2000000797946"
"S¸dpol";"jaques dunkelbraun";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"125,00 Ä";"2000000589930"
"Lerche";"braun";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"75,00 Ä";"2000001301401"
"Wirbelwind";"nougat";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"85,00 Ä";"2000001304242"
"G10 Twiga";"smoke";"1";"35";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"53,00 Ä";"2000001456712"
"Ansa";"blattgr¸n";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001269503"
"Herr Neuner";"Olive";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001277171"
"GN Winterstiefel";"violett";"0";"25";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001299975"
"Sommertramper";"Curry";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"94,00 Ä";"2000001460641"
"Tramper Flex";"jaques dunkelbraun";"H";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000000112572"
"ViaVia";"Weiﬂ";"G";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001461631"
"GGG W¸dling";"nougat";"1";"30";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"50,00 Ä";"2000001299593"
"W4tler Eisb‰r";"schwarz, Fell grau";"G";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"103,00 Ä";"2000000502397"
"Ansa";"jaques schwarz";"G";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001148587"
"G10 Wingu 35-40";"violett";"1";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"71,00 Ä";"2000001299357"
"Frau Neuner";"Curry";"F";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001277010"
"G10 Chui";"rose";"1";"31";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000000797670"
"Frau Wohle";"camel";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"71,00 Ä";"2000001277102"
"GN Schn¸rer";"weiche Sohle froschgr¸n";"0";"26";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001206195"
"GN Schn¸rer";"weiche Sohle t¸rkis";"0";"24";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001457436"
"Kommod Flex";"flachs neu";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000901886"
"W4tler Eisb‰r";"jaques dunkelbraun";"G";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"103,00 Ä";"2000000474076"
"Sommertramper";"flachs neu";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"4";"Paar";"376,00 Ä";"2000000896236"
"GN Kletter";"weiche Sohle t¸rkis";"0";"24";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001457252"
"Wirbelwind";"flachs neu";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"85,00 Ä";"2000000963952"
"G10 Chui";"orange";"1";"32";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001456255"
"Tramper Flex";"jaques dunkelbraun";"H";"44";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"196,00 Ä";"2000000112817"
"GGG Art S2";"rosa ceresa";"1";"34";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"60,00 Ä";"2000001071908"
"Sommertramper";"schoko";"G";"44";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"94,00 Ä";"2000001068717"
"Tanzwunder";"schwarz";"G";"48";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"116,00 Ä";"2000000925516"
"GGG Art S2";"rosa ceresa";"1";"29";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"30,00 Ä";"2000001071830"
"ViaVia";"schwarz";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001308332"
"Pillango 20";"schlehe";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001205662"
"Papallona";"tricolor";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"88,00 Ä";"2000001458822"
"ViaVia";"Weiﬂ";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001461587"
"Phˆnix";"flachs neu";"G";"45";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"89,00 Ä";"2000000894911"
"S¸dpol";"jaques dunkelbraun";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"125,00 Ä";"2000000589879"
"G10 Chui";"rose";"1";"29";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000000797618"
"Aufwind";"stone";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"85,00 Ä";"2000001203354"
"G10 Twiga";"classic blue";"1";"30";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"44,00 Ä";"2000001267318"
"GN Schn¸rer";"weiche Sohle froschgr¸n";"0";"24";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"34,50 Ä";"2000001206218"
"G10 Nie mehr kalt";"braun";"1";"30";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"48,00 Ä";"2000001305263"
"R¸ckenwind";"jaques schwarz";"F";"37";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000000964492"
"Sommertramper";"flachs neu";"G";"43";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"3";"Paar";"282,00 Ä";"2000000896359"
"Sommertramper";"flachs neu";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"94,00 Ä";"2000000896335"
"GGG Art S2";"shadow";"1";"30";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"3";"Paar";"90,00 Ä";"2000001241608"
